Geneid,tissue,betahat,sebetahat,NegativeProb,PositiveProb,lfsr,svalue,lfdr,qvalue,PosteriorMean,PosteriorSD
Hr96,body,0.06394037599432556,0.11568434222651539,0.10103654159598852,0.17167204625157362,0.8283279537484264,0.7053587625102552,0.7272914121524379,0.6359694630660202,0.006398425952579733,0.03826157146877055
Hsp60A,body,-0.08619344682648578,0.0878553614665921,0.21483088129893912,0.07061228679868703,0.7851691187010609,0.6415222502720316,0.7145568319023738,0.6079796451866772,-0.01215628531542844,0.03856000644083312
Diap2,body,0.03719890740772369,0.10340688546253321,0.10581149487031394,0.15270995944112908,0.8472900405588709,0.7313297940210536,0.741478545688557,0.6613438104220477,0.0039861903452225,0.0345863930312227
Pi3K68D,body,-0.015814494390100853,0.1039894589781625,0.13718423479694575,0.11757513641034201,0.8628157652030543,0.7522183472284271,0.7452406287927122,0.6648617698330445,-0.001657074886394962,0.03379308624080174
Pi3K92E,body,-0.14692871407369967,0.11076972837716714,0.2615547569648863,0.06799864327149452,0.7384452430351137,0.5725066096476298,0.6704465997636192,0.5242161595278079,-0.01919775468220237,0.04970324854946807
Rpt2,body,-0.0013429860700550078,0.1287864788131811,0.1350925100977779,0.1338422614907928,0.8649074899022221,0.7549806483288114,0.7310652284114293,0.6450459756873184,-1.159040067648661e-4,0.037834698729363125
Rpn10,body,-0.039696386658805594,0.07412526143868309,0.15628479270526896,0.08199239311617956,0.843715207294731,0.7263258452862116,0.7617228141785515,0.674765837865468,-0.005370297244974192,0.028982166137058667
Rala,body,-0.08390259638363806,0.11441879091704676,0.18826816138840052,0.09242898641040365,0.8117318386115995,0.6824810169165533,0.7193028522011958,0.6168977036755222,-0.008790447424340467,0.0399741150175726
RpL22,body,-0.3341673021977998,0.08056240214580793,0.9815114243838902,6.59926923285023e-4,0.018488575616109837,0.003085900150034387,0.017828648692824814,0.002978599730624772,-0.23761630393611313,0.09935788725252138
Shc,body,-0.11747537097172644,0.09885670057022326,0.244274336466051,0.06793610080088297,0.755725663533949,0.596809565295154,0.687789562733066,0.5554695113274721,-0.01627211589160373,0.04472797752055355
Srp19,body,0.04204643439680322,0.09327326111777347,0.0965954978949114,0.15716007101345641,0.8428399289865436,0.7252765528436895,0.7462444310916322,0.6658598995379182,0.004925213140860244,0.033110728652932055
Ssb-c31a,body,-0.11394571052893654,0.06481064310445911,0.3812181504880826,0.033808395874724506,0.6187818495119174,0.3901180890970429,0.5849734536371929,0.38197684172044477,-0.030381341421162156,0.04977897796410676
Ubc2,body,-0.10661035915857853,0.08055127655960262,0.2703376345194294,0.054682049343247496,0.7296623654805706,0.5585379858074823,0.6749803161373231,0.5321751735068676,-0.018676269067205965,0.04369503294105061
Ubc4,body,-0.03281925051057755,0.07168855711452825,0.14701992983694623,0.08416306470357848,0.8529800701630538,0.7394958718549244,0.7688170054594753,0.6771608351119863,-0.004419225889832801,0.02756523231750557
chn,body,0.08923833571281348,0.0917170178140929,0.0727918533005697,0.21414112026493026,0.7858588797350697,0.6426211929566105,0.7130670264345,0.6045222633669607,0.012144457493244191,0.03927538548848702
RabX1,body,-0.1322516945337765,0.12435327994505255,0.22305109586646232,0.08274711726426653,0.7769489041335377,0.6290090446452256,0.6942017868692711,0.5685101548278108,-0.013882404555243361,0.04633374320614009
dod,body,-0.001145435003009343,0.10424071863268075,0.12773154545681176,0.1263184836119291,0.8722684545431882,0.7609120476075871,0.7459499709312591,0.6656116758545231,-1.1933041180650402e-4,0.03364624556991412
glu,body,0.2751212358929005,0.13179037025635493,0.05133895231144869,0.3814861357686885,0.6185138642313115,0.38958631291003154,0.5671749119198628,0.35487131157293567,0.04258683026997883,0.07809776073643228
jumu,body,0.024998252790871534,0.09852166819322196,0.1094634414903447,0.14272376484288452,0.8572762351571155,0.7445475394288932,0.7478127936667708,0.6673744925428001,0.0027473354325800404,0.033033636383481446
ksr,body,0.1001447920861509,0.12159197548860685,0.09125319468771953,0.19745684586141743,0.8025431541385826,0.6682424052175416,0.711289959450863,0.6012315483133538,0.010087237571964154,0.042224974336069906
Rme-8,body,-0.11559251358221068,0.11763904455170336,0.2146977949117529,0.08339543082716161,0.7853022050882471,0.6417768070028317,0.7019067742610855,0.5820144877544307,-0.012567368183185525,0.044016514631234085
Cul1,body,0.07652932633861176,0.08048093959763009,0.06802663414938026,0.2091908061687966,0.7908091938312034,0.650946908755722,0.7227825596818231,0.6250851011494954,0.011327822527058233,0.03624715577813954
mbc,body,-0.1741096599388785,0.1227095048361124,0.27002655616117066,0.06939615582077663,0.7299734438388293,0.5593928396395749,0.6605772880180527,0.5064202905881567,-0.021051873850495045,0.0536043501605517
nonA-l,body,-0.11034939518155795,0.11731099046185077,0.20999970422016445,0.08492656501671614,0.7900002957798355,0.648752808309695,0.7050737307631194,0.5876182431971358,-0.011887866424764262,0.04329793607908077
RpS21,body,0.006518610881055542,0.040964227967980285,0.07190271288763361,0.0902148880557685,0.9097851119442315,0.7658532969104194,0.8378823990565979,0.6810978482195162,8.440432836720012e-4,0.014866055554499363
olf186-M,body,0.036448316273278936,0.08181092499593132,0.09089528068358432,0.15177649282266104,0.848223507177339,0.7326156664130918,0.7573282264937546,0.673009650330182,0.004616828714274529,0.030304138218683684
spag,body,0.007649558400084633,0.09984323661746601,0.12045539030286889,0.13041395606821993,0.8695860439317801,0.7592495679060886,0.7491306536289112,0.6682651966793414,8.240205065872013e-4,0.03280334931647881
tos,body,0.16261772891531268,0.11323614334452699,0.06519295179785634,0.2774959540332096,0.7225040459667904,0.5446845712184009,0.6573110941689341,0.4992840634781835,0.02171753341772594,0.052684554569606655
alpha-Est1,body,0.08967914967156165,0.1141510510318195,0.09008533558045984,0.19350491774490175,0.8064950822550983,0.6742788195074845,0.7164097466746384,0.6115748490991875,0.009532367722568684,0.04059043656607385
alpha-Est7,body,0.1341219662546611,0.11528191935935746,0.07563178689469985,0.23720166105534368,0.7627983389446563,0.6071029123952818,0.6871665520499565,0.5542608258545041,0.015786306464159038,0.04692256865769363
toc,body,-0.10314834640394843,0.11415531086920695,0.20604729914036135,0.0852071244864564,0.7939527008596386,0.6560816486385648,0.7087455763731823,0.5959734423740284,-0.011303719363780919,0.04224868695500563
BEAF-32,body,0.057286271973977065,0.09026461104665984,0.08632969055972739,0.17388293143928946,0.8261170685607105,0.7021621664792904,0.7397873780009832,0.6594204396038353,0.007124760352204541,0.034188945048547706
CanB2,body,-0.0860093163499398,0.08219942773912432,0.2234185804274521,0.06530032491271831,0.7765814195725479,0.6280510797351713,0.7112810946598296,0.6011745232298628,-0.013049088733013772,0.03836920800322576
SMC3,body,-0.0440255730410104,0.12600820188959838,0.15706608123746968,0.11443852585869818,0.8429339187625303,0.7253856335970325,0.7284953929038321,0.6390337249731562,-0.003949627125122388,0.03838723189140365
Clp,body,0.20864421321425108,0.11123769961141441,0.05017239422543929,0.3617139140452742,0.6382860859547258,0.4171253393820259,0.5881136917292865,0.3887418904707485,0.035339020397186255,0.06528780262742105
Cnx99A,body,0.0893872375436362,0.069675921033937,0.050513930066531376,0.2623745465694023,0.7376254534305977,0.5715844100822254,0.6871115233640663,0.5540577996244863,0.016875915168867984,0.039628973766689495
Cpr,body,-0.05592972613615266,0.07968975759590362,0.1772452129916947,0.07776740662846049,0.8227547870083053,0.698335352179235,0.7449873803798448,0.6645473888416032,-0.007643420348018054,0.032379717090461946
CycB3,body,-0.021769292383333694,0.09024836499784557,0.13839889929187787,0.10629707634292673,0.8616011007081221,0.7505831974279161,0.7553040243651954,0.6718960615781376,-0.00253450553217127,0.031138180977670075
Dref,body,0.20912864835559264,0.10970534125237465,0.04862291708915756,0.3703625529375577,0.6296374470624423,0.40636162190506453,0.5810145299732847,0.3729967141655319,0.036639334380823056,0.06604587356220092
Hmu,body,-0.023788268913711885,0.12979595092524235,0.14621431697560716,0.12425990540582466,0.8537856830243928,0.7407598838167457,0.7295257776185682,0.6415481565912,-0.002046435390485642,0.03824508591124282
Lis-1,body,-0.15142111411697945,0.07480298313869861,0.453897713502021,0.030729531760726125,0.546102286497979,0.29956720244440777,0.5153727547372529,0.2885021226286886,-0.04309730738322118,0.06094701554576172
RpL9,body,-0.035629193807146686,0.04699278851022729,0.15584210296116185,0.05345911499457667,0.8441578970388381,0.7271142420441885,0.7906987820442615,0.6796932890214725,-0.0056349062596116935,0.021703615894867162
p38a,body,0.06853193111992428,0.11933596270567068,0.10134852623800639,0.17403518280541175,0.8259648171945883,0.7018829569272349,0.7246162909565819,0.6288398110221404,0.0066825903807253085,0.03904335812661922
Msr-110,body,-0.13065485319542236,0.07885315677897375,0.3439273965398617,0.04320356296932992,0.6560726034601383,0.44574749098142896,0.6128690404908084,0.42873026429610195,-0.02807956347436791,0.05169697618138465
Nak,body,0.004111178689391037,0.10186985857964766,0.12354212906049811,0.12876182065020392,0.8712381793497961,0.7603084656728005,0.747696050289298,0.667232323195476,4.360050399886822e-4,0.033184137470010734
nrv1,body,-0.1326467928582471,0.08612291018976947,0.3122185800168654,0.05018511166323825,0.6877814199831346,0.49036117741679747,0.6375963083198963,0.4646084945777049,-0.024656192681395003,0.05039241421969573
